drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.09,0.09,0.09,0.09,90,90,90,46.9927362809703
0.09,0.09,0.09,0.09,90,90,110,47.0129461248279
0.09,0.09,0.09,0.09,90,110,90,46.9676441173265
0.09,0.09,0.09,0.09,90,110,110,46.9866470236962
0.09,0.09,0.09,0.09,110,90,90,46.7753958464417
0.09,0.09,0.09,0.09,110,90,110,46.7948996926177
0.09,0.09,0.09,0.09,110,110,90,46.7481245997767
0.09,0.09,0.09,0.09,110,110,110,46.7663631928916
0.09,0.09,0.09,0.11,90,90,90,48.691965699127
0.09,0.09,0.09,0.11,90,90,110,48.7242764677577
0.09,0.09,0.09,0.11,90,110,90,48.7200902178569
0.09,0.09,0.09,0.11,90,110,110,48.7522319850202
0.09,0.09,0.09,0.11,110,90,90,48.4897132069912
0.09,0.09,0.09,0.11,110,90,110,48.5217648308855
0.09,0.09,0.09,0.11,110,110,90,48.5172871462782
0.09,0.09,0.09,0.11,110,110,110,48.549159687768
0.09,0.09,0.11,0.09,90,90,90,49.0878044643903
0.09,0.09,0.11,0.09,90,90,110,49.0797122520492
0.09,0.09,0.11,0.09,90,110,90,48.962723459815
0.09,0.09,0.11,0.09,90,110,110,48.9502490631027
0.09,0.09,0.11,0.09,110,90,90,48.8188775284736
0.09,0.09,0.11,0.09,110,90,110,48.8087586303155
0.09,0.09,0.11,0.09,110,110,90,48.6860909631268
0.09,0.09,0.11,0.09,110,110,110,48.6712986710335
0.09,0.09,0.11,0.11,90,90,90,51.7773876330238
0.09,0.09,0.11,0.11,90,90,110,51.7993637455143
0.09,0.09,0.11,0.11,90,110,90,51.7870841545028
0.09,0.09,0.11,0.11,90,110,110,51.8084933708471
0.09,0.09,0.11,0.11,110,90,90,51.5601776520625
0.09,0.09,0.11,0.11,110,90,110,51.5817370582003
0.09,0.09,0.11,0.11,110,110,90,51.5686619411791
0.09,0.09,0.11,0.11,110,110,110,51.5896286992959
0.09,0.11,0.09,0.09,90,90,90,48.7014899381983
0.09,0.11,0.09,0.09,90,90,110,48.6948947851969
0.09,0.11,0.09,0.09,90,110,90,48.5566073044016
0.09,0.11,0.09,0.09,90,110,110,48.5447745697977
0.09,0.11,0.09,0.09,110,90,90,48.4317610203566
0.09,0.11,0.09,0.09,110,90,110,48.4229075915241
0.09,0.11,0.09,0.09,110,110,90,48.2784968575525
0.09,0.11,0.09,0.09,110,110,110,48.2640617872514
0.09,0.11,0.09,0.11,90,90,90,52.0303840676672
0.09,0.11,0.09,0.11,90,90,110,52.0534636127134
0.09,0.11,0.09,0.11,90,110,90,52.0187418662197
0.09,0.11,0.09,0.11,90,110,110,52.0408755211623
0.09,0.11,0.09,0.11,110,90,90,51.8159780318547
0.09,0.11,0.09,0.11,110,90,110,51.8384943354824
